topic,neutral,slanted
vaccines,vaccine information,vaccine dangers
vaccines,vaccine facts,vaccine scam
vaccines,childhood vaccination benefits,childhood vaccination risks
vaccines,flu shot effectiveness,flu shot side effects
vaccines,hpv vaccine effects,hpv vaccine dangers
vaccine_passports,vaccine passport impact,immunity passport discrimination
vaccine_passports,covid passport research,digital health pass privacy
vaccine_passports,travel health certificate effectiveness,vaccine segregation
covid19,COVID-19 vaccine efficacy,COVID-19 vaccine side effects
covid19,coronavirus pandemic origin,coronavirus lab leak theory
covid19,face masks effectiveness,face masks health risks
covid19,lockdown effectiveness,lockdown harms
climate_change,climate change evidence,climate change hoax
climate_change,global warming science,global warming myth
climate_change,sea level rise research,sea level rise exaggerated
climate_change,carbon emissions impact,carbon emissions scam
climate_change,renewable energy facts,renewable energy failures
fluoridation,water fluoridation information,water fluoridation dangers
fluoridation,fluoride dental health,fluoride toxicity
fluoridation,community water fluoridation safety,fluoride neurotoxicity
5g,5g technology health,5g radiation risks
5g,5g safety research,5g dangers
5g,5g health studies,5g electromagnetic hypersensitivity
nuclear_power,nuclear power safety,nuclear power risks
nuclear_power,nuclear waste management,nuclear waste danger
nuclear_power,nuclear energy carbon emissions,nuclear accidents
nuclear_power,nuclear fusion research,nuclear proliferation risks
nuclear_waste,radioactive waste disposal research,nuclear waste leaks
nuclear_waste,deep geological repository data,radioactive waste transportation risks
pesticides,pesticide regulation science,pesticide health hazards
pesticides,organic farming pesticide use,conventional pesticide dangers
artificial_sweeteners,aspartame safety,aspartame dangers
artificial_sweeteners,sucralose research,sucralose health risks
artificial_sweeteners,stevia information,stevia side effects
artificial_sweeteners,diet soda health,diet soda cancer risk
electromagnetic_fields,emf safety research,emf health risks
electromagnetic_fields,power lines health,power lines cancer
electromagnetic_fields,cell phone radiation safety,cell phone radiation brain tumors
electromagnetic_fields,wi-fi health effects,wi-fi radiation dangers
essential_oils,essential oils therapeutic facts,essential oils toxicity
essential_oils,tea tree oil safety,tea tree oil poisoning
essential_oils,lavender oil research,lavender oil hormone disruption
aluminum,aluminum in vaccines safety,aluminum vaccine toxicity
aluminum,aluminum cookware safety,aluminum alzheimers link
aluminum,aluminum antiperspirants cancer research,aluminum breast cancer
mercury,mercury dental amalgam safety,mercury amalgam poisoning
mercury,mercury in fish guidelines,mercury seafood dangers
cloning,animal cloning research,cloning ethical concerns
cloning,food cloning safety,cloned meat risks
coal,clean coal technology,coal pollution deaths
coal,carbon capture research,coal mining dangers
coal,coal ash disposal safety,coal ash toxic waste
plastic,plastic recycling impact,plastic recycling scam
plastic,biodegradable plastics research,bioplastics environmental impact
plastic,microplastics health research,microplastics human toxicity
wind_energy,wind turbine safety,wind turbine syndrome
wind_energy,offshore wind farm research,wind energy bird deaths
wind_energy,wind power health effects,wind turbine noise complaints
biodiesel,biodiesel environmental impact,biodiesel land use change
biodiesel,algae biofuel research,biofuel food vs fuel
artificial_intelligence,ai safety research,ai existential risk
artificial_intelligence,ai alignment effects,ai uncontrolled intelligence
artificial_intelligence,ai ethics guidelines,ai bias dangers
gene_drives,gene drive malaria control,gene drive ecological risks
gene_drives,crispr gene drive research,gene drive extinction threat
gene_drives,gene drive regulation,selfish genetic elements danger
synthetic_biology,synthetic biology facts,synthetic biology bioweapons
synthetic_biology,genetic engineering research,designer babies ethics
synthetic_biology,biohacking safety,garage biology risks
nanotechnology,nanotechnology medical impact,nanoparticle toxicity
nanotechnology,nanomaterials safety research,nanotech environmental impact
nanotechnology,carbon nanotube applications,nanoparticle lung disease
quantum_computing,quantum computing cryptography,quantum computer security risks
quantum_computing,quantum supremacy research,quantum decryption threats
quantum_computing,quantum ai research,quantum computing dangers
lab_grown_meat,cultured meat safety,lab meat health risks
lab_grown_meat,cellular agriculture research,test tube meat dangers
lab_grown_meat,clean meat environmental impact,fake meat processing risks
3d_printing,3d printed organs facts,3d printing bioprinting risks
3d_printing,additive manufacturing research,3d printed gun dangers
3d_printing,metal 3d printing safety,3d printing toxic emissions
autonomous_vehicles,self driving car safety,autonomous vehicle accidents
autonomous_vehicles,autonomous trucking impact,self driving truck dangers
autonomous_vehicles,ai driving research,driverless car hacking risks
cryptocurrency,bitcoin blockchain security,cryptocurrency environmental damage
cryptocurrency,crypto mining energy use,bitcoin carbon footprint
cryptocurrency,cryptocurrency financial inclusion,crypto scam risks
blockchain,blockchain supply chain ,blockchain energy consumption
blockchain,smart contracts security,blockchain vulnerabilities
blockchain,decentralized finance research,defi hacking risks
social_media,instagram mental health research,social media depression link
social_media,tiktok algorithm study,tiktok addiction risks
social_media,facebook misinformation research,facebook polarizing effects
social_media,twitter echo chamber,online radicalization
online_privacy,gdpr effectiveness,data collection privacy risks
online_privacy,encryption security research,government backdoor dangers
online_privacy,facial recognition benefits,facial recognition surveillance
electronic_cigarettes,vaping smoking cessation,e cigarette lung disease
electronic_cigarettes,nicotine replacement impact,vaping popcorn lung
electronic_cigarettes,juul harm reduction,teen vaping epidemic
obesity,weight loss surgery facts,obesity health risks
obesity,healthy diet research,processed food dangers
obesity,exercise impact,obesity treatment failures
plant_based_diet,vegan health impact,plant based nutrient deficiencies
plant_based_diet,vegetarian protein sources,soy estrogen concerns
plant_based_diet,meat substitutes safety,processed vegan food risks
